开奖日期	期号	中奖号码	单选	组选3	组选6	销售额（元）	返奖比例
2020-08-09	2020173	909	29452	23324	0	51,482,022	 
2020-08-08	2020172	769	8914	0	19319	53,124,980	 
2020-08-07	2020171	710	20386	0	29658	54,464,362	 
2020-08-06	2020170	942	9151	0	43566	52,303,322	 
2020-08-05	2020169	965	11260	0	34235	52,435,740	 
2020-08-04	2020168	215	21391	0	39653	53,598,760	 
2020-08-03	2020167	641	22174	0	44188	51,899,248	 
2020-08-02	2020166	808	34900	31844	0	52,206,994	 
2020-08-01	2020165	910	19994	0	30414	50,282,840	 
2020-07-31	2020164	769	16360	0	38218	53,246,900	 
2020-07-30	2020163	804	22875	0	26464	52,088,820	 
2020-07-29	2020162	810	17723	0	31188	52,058,006	 
2020-07-28	2020161	688	31466	26171	0	51,792,716	 
2020-07-27	2020160	593	10312	0	27662	51,393,264	 
2020-07-26	2020159	915	13423	0	39516	48,388,886	 
2020-07-25	2020158	320	27701	0	54457	47,482,068	 
2020-07-24	2020157	200	12778	11242	0	51,303,070	 
2020-07-23	2020156	112	11938	11400	0	50,744,134	 
2020-07-22	2020155	993	14033	17734	0	52,889,424	 
2020-07-21	2020154	886	29976	22117	0	53,611,496	 
2020-07-20	2020153	916	39198	0	62809	52,010,410	 
2020-07-19	2020152	704	9676	0	35091	50,842,688	 
2020-07-18	2020151	788	14813	20326	0	53,508,940	 
2020-07-17	2020150	612	43891	0	35778	55,172,862	 
2020-07-16	2020149	391	8716	0	29449	54,157,484	 
2020-07-15	2020148	981	11907	0	36551	53,143,090	 
2020-07-14	2020147	086	9331	0	25277	51,975,092	 
2020-07-13	2020146	535	14000	18296	0	52,504,486	 
2020-07-12	2020145	109	11729	0	24098	52,662,790	 
2020-07-11	2020144	869	15089	0	39568	53,290,382	 
2020-07-10	2020143	086	12430	0	22951	53,111,074	 
2020-07-09	2020142	899	34712	29770	0	54,349,078	 
2020-07-08	2020141	805	16978	0	29651	53,413,072	 
